日期,類別,大類別,金額,貨幣,成員,帳戶,標籤,備註,收支區分,上次更新,UUID
20250930,宵夜,飲食,59,TWD,自己,Line pay ipass money,,全家 金豐盛 泰式香檸嫩雞胸,支,2025-09-30 23:07:40,1C1D0277-43E2-4FEF-BDAF-5EA6B0DE2AF1
20250930,晚餐,飲食,145,TWD,自己,現金,,蛋白盒子 燒肉店漢堡排餐盒,支,2025-09-30 18:57:56,0E369908-72A1-421C-B867-5F64C46BF356
20250930,捷運錢,交通,35,TWD,自己,政大學生證 悠遊卡,,江子翠到辛亥,支,2025-09-30 18:32:00,1BF34A09-A1C8-4A7C-A0BC-D31389CC30BE
20250930,轉帳手續費,,5,TWD,自己,富邦活存銀行,,,支,2025-09-30 18:31:37,54D17BD2-9ABE-4108-9EAE-6566EBBCBF1B
20250930,午餐,飲食,90,TWD,自己,現金,,京饌自助餐,支,2025-09-30 12:30:11,BC9A51CD-03CE-43BD-8335-3EF4B0700FA2
20250930,早餐,飲食,59,TWD,自己,現金,,全家 鮪魚起司溏心蛋三明治 優質蛋白牛肉 巧克力口味,支,2025-09-30 18:58:05,5CC82405-2B93-4D50-8EDA-372DF264A973
20250930,停車費,交通,19,TWD,自己,Line pay ipass money,,9/20 台大羅斯福路上車位,支,2025-09-30 09:06:07,21438DA2-13A4-4438-B782-25DB21C13193
20250930,停車費,交通,19,TWD,自己,Line pay ipass money,,9/17 大安合庫附近停車位,支,2025-09-30 09:05:47,15D47C0D-3143-4F6A-96F1-D2D2ECC3B363
20250930,捷運錢,交通,35,TWD,自己,政大學生證 悠遊卡,,辛亥到江子翠,支,2025-09-30 09:02:02,414EB2BE-D2AC-451D-BEC2-9A751DF00A8B
20250930,生活起居,生活,20,TWD,自己,現金,,政大宿舍 洗衣,支,2025-09-30 00:06:41,1F05D050-E599-42CD-8CE5-99E50625B2F1
20250929,捷運錢,交通,25,TWD,自己,政大學生證 悠遊卡,,台北車站到辛亥,支,2025-09-29 19:51:02,B59750BE-05E8-4CEE-8CF3-672318BD390C
20250929,高鐵錢,交通,1445,TWD,自己,現金,,高鐵票 左營到台北,支,2025-09-29 19:48:35,C697819C-7A1E-4CEA-9702-8B53098894F4
20250929,捷運錢,交通,35,TWD,自己,政大學生證 悠遊卡,,衛武營到左營,支,2025-09-29 19:46:43,292D460F-336C-466C-9E07-5E4F3A19CE18
20250929,午餐,飲食,855,TWD,自己,現金,,酸菜白肉鍋,支,2025-09-29 13:39:46,738DD12D-33C5-418D-A7C0-E2A6BAC7D21D
20250928,甜點,飲食,150,TWD,自己,現金,,亨利蛋糕 點心小舖 法式檸檬塔 桂花釀乳酪蛋糕 黑糖奶茶,支,2025-09-29 01:39:07,7B98845B-196D-4228-B9C3-43A5C5648555
20250928,日常用品,生活,276,TWD,自己,富邦J卡信用卡,,大遠百 藥妝店 娃包 羊要用調味罐,支,2025-10-04 19:22:59,A981C675-AD0B-4FB5-95CD-B7D4FED20569
20250928,晚餐,飲食,1538,TWD,自己,富邦J卡信用卡,,瓦城 雙人套餐 壽星優惠 -200,支,2025-10-04 19:23:28,727AB05D-B1E0-4C2A-B96A-9041B650EE39
20250928,午餐,飲食,25,TWD,自己,現金,,50嵐 四季春,支,2025-09-28 15:16:31,A9D51381-8BA9-43CC-AF81-ACF8743291AA
20250928,午餐,飲食,70,TWD,自己,現金,,武廟 原味熱狗 大 薯條熱狗 小,支,2025-09-28 14:59:48,6B50D0D1-6D40-4568-B1B4-488F5403B670
20250928,計程車錢,交通,259,TWD,自己,富邦J卡信用卡,,Uber 六合夜市到小🐑家,支,2025-10-04 19:22:16,1C042A5E-82B6-45D3-8D75-0DF25169DE7F
20250928,計程車錢,交通,244,TWD,自己,富邦J卡信用卡,,Uber 小🐑家到六合夜市,支,2025-10-04 19:21:45,D6AADDC8-62F5-4F23-9A30-46E4CFE62110
20250928,午餐,飲食,105,TWD,自己,現金,,六合夜市 肉燥飯 排骨酥湯,支,2025-09-29 01:36:34,3F4918AE-9192-4158-A658-595FD3804C58
20250928,午餐,飲食,75,TWD,自己,現金,,六合夜市 蒜香烏龍豆干,支,2025-09-29 01:36:52,CDFC284F-C39D-4055-965A-3F46325C065E
20250928,午餐,飲食,200,TWD,自己,現金,,六合夜市 調酒,支,2025-09-29 01:35:14,3454556F-F732-45CF-A294-F852695BF215
20250928,午餐,飲食,50,TWD,自己,現金,,六合夜市 刈包,支,2025-09-29 01:35:04,F4CD353B-34BA-4F26-B5FD-64971D76CD8E
20250927,飲料,飲食,35,TWD,自己,現金,,松本鮮奶茶 烏龍綠,支,2025-09-27 14:12:19,1D63977C-DE32-4A8B-80B6-90711D84D1F7
20250927,轉帳手續費,,5,TWD,自己,富邦活存銀行,,,支,2025-09-27 12:18:23,60620EEF-1D1D-4F64-B86D-D61631A5DADE
20250927,火車錢,交通,102,TWD,自己,政大學生證 悠遊卡,,台南到高雄,支,2025-09-27 12:15:35,68C22215-DAB0-4E39-93F9-19E0D098B3F1
20250927,早餐,飲食,115,TWD,自己,現金,,小邁時光 經典鬆餅 新生學生證優惠鮮奶茶 10元,支,2025-09-27 09:45:38,3BBC1CAA-B822-4117-9C22-1DB84F964D72
20250927,宵夜,飲食,85,TWD,自己,現金,,哈胖high胖 哈胖豬肉漢堡 熱狗蛋捲,支,2025-09-27 00:26:22,405D325B-B9D9-4B62-9DAF-19A6A288EF93
20250926,轉帳手續費,,4,TWD,自己,富邦證券臺幣交割戶,,,支,2025-10-01 17:52:50,3CC11925-DC0C-413F-9EE3-0834D282A513
20250926,飲料,飲食,55,TWD,自己,現金,,島鼓計畫 島鼓鮮奶茶,支,2025-09-26 20:51:52,6182368E-E757-4890-95A0-7163BC435CA5
20250926,飲料,飲食,28,TWD,自己,現金,,7-11 麥香 錫蘭奶茶,支,2025-09-26 18:04:02,2DA0B08A-FE26-45FB-9485-9118B7538BEA
20250926,晚餐,飲食,245,TWD,自己,現金,,小赤佬,支,2025-09-26 17:31:21,F5F03CE4-81CF-4ECB-90AA-056F37846B20
20250926,火車錢,交通,37,TWD,自己,政大學生證 悠遊卡,,火車 沙崙到台南,支,2025-09-26 16:44:54,B80443FA-520B-4F82-A9F3-FB4FF9E99DB1
20250926,高鐵錢,交通,1305,TWD,自己,富邦J卡信用卡,,台灣高鐵 臺北的台南 自由座,支,2025-10-04 19:20:46,B864B6A8-02F6-4874-92C4-8CE2686A8FFD
20250926,客運錢,交通,-500,TWD,自己,富邦J卡信用卡,,統聯客運 台北到高雄 退票,支,2025-10-04 19:24:00,6971BC49-60FD-481F-87E4-DD9527486BC2
20250926,捷運錢,交通,25,TWD,自己,政大學生證 悠遊卡,,辛亥到台北車站,支,2025-09-26 13:29:37,247EADB8-40A6-424B-A393-E44C5168A913
20250926,工資,,28972,TWD,自己,富邦活存銀行,,SAS 實習薪水,收,2025-09-26 00:02:18,6884659E-72BA-482C-BB3E-4A5A95AE4390
20250925,停車費,交通,10,TWD,自己,政大學生證 悠遊卡,,台北體育館停車 SAS intern 最後一次打桌球,支,2025-09-26 00:03:15,11E2AC94-46A8-43D8-A761-DDAD1A32ED43
20250925,午餐,飲食,85,TWD,自己,Line pay ipass money,,豬芙蕾 咖喱泡麵+蛋,支,2025-09-25 12:12:45,621863DD-8F59-4621-AE60-AD0AE6291CF9
20250924,獎金,,500,TWD,自己,Line pay ipass money,,Juju退費沒有包場,收,2025-09-24 22:56:55,38BE4C51-C237-428C-96B8-150B0B1773F9
20250924,晚餐,飲食,352,TWD,自己,Line pay ipass money,,徙巷餐酒館 檸檬香料松阪豬燉飯（微辣） 松露薯條 分,支,2025-09-24 22:57:24,D4EE2CE5-152F-429F-A23F-164E4563FABB
20250924,捷運錢,交通,20,TWD,自己,政大學生證 悠遊卡,,大安到辛亥,支,2025-09-24 18:18:02,4555D39E-11AE-414D-821F-A6C6C1514A23
20250924,午餐,飲食,100,TWD,自己,現金,,三馬便當 排骨飯,支,2025-09-24 12:25:28,E8F41DF5-9440-408F-93E1-0E5FBAF9DC67
20250924,早餐,飲食,45,TWD,自己,現金,,7-11 大冰美式,支,2025-09-24 08:51:53,5128ED60-F1BE-44E4-AB80-AB1C6C15711A
20250924,早餐,飲食,25,TWD,自己,現金,,永和豆漿 蛋餅,支,2025-09-24 08:51:37,0CEE14F7-D903-47B9-8B37-24216865A753
20250924,捷運錢,交通,20,TWD,自己,政大學生證 悠遊卡,,辛亥到大安,支,2025-09-24 08:38:31,F04935FD-4E82-4009-90CF-B929FFA90A44
20250923,生活起居,生活,20,TWD,自己,現金,,政大自強宿舍 洗衣,支,2025-09-23 21:59:11,6708EB09-88C1-4F6B-B09B-18D9B55AF608
20250922,晚餐,飲食,115,TWD,自己,富邦J卡信用卡,,蛋白盒子 香煎黑胡椒雞胸餐盒,支,2025-10-04 19:20:12,4047A1D7-F9E4-4F98-8CD2-61416834E48F
20250922,捷運錢,交通,20,TWD,自己,政大學生證 悠遊卡,,大安到辛亥,支,2025-09-22 17:06:03,639B6584-57BB-4940-8884-EDE6F08D3ED8
20250922,投資,,5.59,USD,自己,富邦證券美金交割戶,,安和分行 IVV配息,收,2025-09-22 15:49:10,BC628CDD-D552-4658-9FA9-1B27D88008DE
20250922,午餐,飲食,100,TWD,自己,現金,,食勾伊的便當 烤味噌豬,支,2025-09-22 12:14:49,736C7D8C-E021-44DC-82DA-E7EE38A94D69
